firearm_type,price,link,stock_status
"HERITAGE 22LR 16"" FS BLUED COCOBOLO GRIPS",$149.95,https://shop2.gzanders.com/catalog/product/view/id/58865/s/heritage-22lr-16-fs-blued-cocobolo-grips/category/520/,Out Of Stock
"MIDLAND CONSTITUTION .410 3"" 18.5"" SINGLE BARREL",$149.95,https://shop2.gzanders.com/firearms/midland-constitution-410-3-18-5-single-barrel.html,Out Of Stock
"MIDLAND CONSTITUTION 20GA. 3"" 26"" SINGLE BARREL",$149.95,https://shop2.gzanders.com/firearms/midland-constitution-20ga-3-26-single-barrel.html,BACK ORDER
"MIDLAND CONSTITUTION 12GA. 3"" 18.5"" SINGLE BARREL",$149.95,https://shop2.gzanders.com/catalog/product/view/id/58590/s/midland-constitution-12ga-3-18-5-single-barrel/category/520/,BACK ORDER
"MIDLAND CONSTITUTION 12GA. 3"" 26"" SINGLE BARREL",$149.95,https://shop2.gzanders.com/catalog/product/view/id/58587/s/midland-constitution-12ga-3-26-single-barrel/category/520/,BACK ORDER
"HERITAGE 22LR/WMR COMBO 3.5"" BLUED BIRDSHEAD COCOBOLO GRIPS",Special Price $149.95,https://shop2.gzanders.com/catalog/product/view/id/7254/s/heritage-22lr-wmr-combo-3-75-blued-birdshead-cocobolo-grips/category/520/,BACK ORDER
DKSN COMMANDO XX3B-M 12GA 18.5 MARINE TAC PUMP BLACK STOCK,Special Price $150.00,https://shop2.gzanders.com/catalog/product/view/id/63637/s/dksn-commando-xx3b-m-12ga-18-5-marine-tac-pump-black-stock/category/520/,ADD TO CART
"DKSN COMMANDO XX3D-M 12GA. 20"" MARINE TAC PUMP BLACK STOCK",Regular Price $249.95,https://shop2.gzanders.com/catalog/product/view/id/63581/s/dksn-commando-xx3d-m-12ga-20-marine-tac-pump-black-stock/category/520/,ADD TO CART
CRICKETT RIFLE G2 .22WMR BLUED/BLACK SYNTHETIC,$150.99,https://shop2.gzanders.com/firearms/crickett-rifle-g2-22wmr-blued-black-synthetic.html,ADD TO CART
"STEVENS 301 SINGLE SHOT .410 3"" 26"" MODIFIED BLACK/BLK SYN",Special Price $151.00,https://shop2.gzanders.com/firearms/stevens-301-single-shot-410ga-26-full-2-5-or-3-black-syn.html,ADD TO CART
"CRICKETT SHOTGUN .410 WALNUT BREAK ACTION 3"" 18.5""BBL BLUED",$151.99,https://shop2.gzanders.com/firearms/crickett-shotgun-410-walnut-break-action-3-18-5-bbl-blued.html,ADD TO CART
JACOB GREY AR15 JG15 BILLET LOWER RECEIVER BLK,$152.95,https://shop2.gzanders.com/firearms/jacob-grey-ar15-jg15-billet-lower-receiver-blk-gjg94029.html,ADD TO CART
