brand,model,price,link,stock_status,vendor
MGNM,RSRCH DE357SRMB 357MG PSTL STS,$1849.00,https://www.orionfflsales.com/product/5495/mgnm-rsrch-de357srmb-357mg-pstl-sts,OUT OF STOCK,Orion
MAGN,RESEARCH DE357L5IMB PISTL BLK,$1704.00,https://www.orionfflsales.com/product/5494/magn-research-de357l5imb-pistl-blk,OUT OF STOCK,Orion
MGNM,RSRCH DE357BC 357 PSTL BRS CHR,$1707.00,https://www.orionfflsales.com/product/5492/mgnm-rsrch-de357bc-357-pstl-brs-chr,OUT OF STOCK,Orion
MGNM,RSRCH DE357 357MAG PSTL BLK,$1412.00,https://www.orionfflsales.com/product/5491/mgnm-rsrch-de357-357mag-pstl-blk,OUT OF STOCK,Orion
MAGN,RESEARCH DE1911U 45 PSTL BLK,$807.00,https://www.orionfflsales.com/product/5489/magn-research-de1911u-45-pstl-blk,OUT OF STOCK,Orion
MAGN,RESEARCH DE1911G 45 PSTL STS,$769.00,https://www.orionfflsales.com/product/5488/magn-research-de1911g-45-pstl-sts,OUT OF STOCK,Orion
MAGN,RESEARCH DE1911G10 10MM PST BL,$753.00,https://www.orionfflsales.com/product/5487/magn-research-de1911g10-10mm-pst-bl,OUT OF STOCK,Orion
MAGN,RESEARCH DE1911CSS 45 PSTL STS,$769.00,https://www.orionfflsales.com/product/5485/magn-research-de1911css-45-pstl-sts,OUT OF STOCK,Orion
MAGN,RESEARCH DE1911C 45 PSTL BLK,$723.00,https://www.orionfflsales.com/product/5484/magn-research-de1911c-45-pstl-blk,OUT OF STOCK,Orion
KAHR,ARMS CM9 9MM PSTL STS/PLYMR,$359.00,https://www.orionfflsales.com/product/5466/kahr-arms-cm9-9mm-pstl-stsplymr,10+,Orion
KAHR,ARMS CM45 45ACP PSTL POLY/STS,$359.00,https://www.orionfflsales.com/product/5465/kahr-arms-cm45-45acp-pstl-polysts,1,Orion
SARSILMAZ,SARK12 SPORT 9MM PST STS,$592.00,https://www.orionfflsales.com/product/5460/sarsilmaz-sark12-sport-9mm-pst-sts,OUT OF STOCK,Orion
SARSILMAZ,SAR9X 9MM PSTL PLATINUM,$472.22,https://www.orionfflsales.com/product/5459/sarsilmaz-sar9x-9mm-pstl-platinum,3,Orion
FN,509M MRD NMS BLK/BLK (2) 15RND,$597.00,https://www.orionfflsales.com/product/5453/fn-509m-mrd-nms-blkblk-2-15rnd,10+,Orion
CAI,"DRACO NAK9 9MM PSTL 11.14"" BBL",$599.00,https://www.orionfflsales.com/product/5444/cai-draco-nak9-9mm-pstl-1114-bbl,4,Orion
STAINLESS,LW 9MM PSTL BLK GRIPS,$678.00,https://www.orionfflsales.com/product/5436/stainless-lw-9mm-pstl-blk-grips,OUT OF STOCK,Orion
KIMBER,MICRO 9MM PSTL COVERT,$847.00,https://www.orionfflsales.com/product/5434/kimber-micro-9mm-pstl-covert,OUT OF STOCK,Orion
KIMBER,SUPER JAGARE 10MM PSTL BL,$2449.00,https://www.orionfflsales.com/product/5433/kimber-super-jagare-10mm-pstl-bl,OUT OF STOCK,Orion
KELTEC,PLR16 223REM PSTL PRK/GRN,$499.00,https://www.orionfflsales.com/product/5431/keltec-plr16-223rem-pstl-prkgrn,OUT OF STOCK,Orion
G2S,"9MM CY/SS 3.26"" BL 2X7 RDS",$215.00,https://www.orionfflsales.com/product/5420/g2s-9mm-cyss-326-bl-2x7-rds,OUT OF STOCK,Orion
dSIG,P320 X5 LEGION 9MM PSTL LGN GRY,$794.00,https://www.orionfflsales.com/product/5418/dsig-p320-x5-legion-9mm-pstl-lgn-gry,OUT OF STOCK,Orion
dSIG,"P320F 9MM PSTL M17 COYOTE 4.7""",$535.00,https://www.orionfflsales.com/product/5417/dsig-p320f-9mm-pstl-m17-coyote-47,OUT OF STOCK,Orion
PT22,"POLY 22LR BK/BK 2.8"" 8RDS",$204.00,https://www.orionfflsales.com/product/5400/pt22-poly-22lr-bkbk-28-8rds,OUT OF STOCK,Orion
1911,"COMMANDER 9MM LUGER 4.25"" BLK",$513.00,https://www.orionfflsales.com/product/5398/1911-commander-9mm-luger-425-blk,OUT OF STOCK,Orion
1911,"9MM LUGER, 5IN BLK/BK, 9+1 RD",$492.00,https://www.orionfflsales.com/product/5397/1911-9mm-luger-5in-blkbk-91-rd,OUT OF STOCK,Orion
STORGER,COUGAR 45ACP PSTL BLUE,$390.00,https://www.orionfflsales.com/product/5379/storger-cougar-45acp-pstl-blue,OUT OF STOCK,Orion
BERETTA,92FS POL SPL 9MM PSTL BRUN,$459.99,https://www.orionfflsales.com/product/5349/beretta-92fs-pol-spl-9mm-pstl-brun,OUT OF STOCK,Orion
BERETTA,92FS TRIJ 9MM PSTL INOX LE,$499.99,https://www.orionfflsales.com/product/5348/beretta-92fs-trij-9mm-pstl-inox-le,OUT OF STOCK,Orion
BERETTA,92X F 9MM PSTL BRUNITON BLK,$595.00,https://www.orionfflsales.com/product/5347/beretta-92x-f-9mm-pstl-bruniton-blk,OUT OF STOCK,Orion
CZ,SHADOW 2 9MM PSTL BLUE GRIP SA,$1199.00,https://www.orionfflsales.com/product/5318/cz-shadow-2-9mm-pstl-blue-grip-sa,10+,Orion
BERETTA,M9A3 9MM PSTL BLK TYPE G NS,$779.00,https://www.orionfflsales.com/product/5309/beretta-m9a3-9mm-pstl-blk-type-g-ns,OUT OF STOCK,Orion
BERETTA,M9A3 9MM PSTL 3MAGS 17RD,$779.00,https://www.orionfflsales.com/product/5308/beretta-m9a3-9mm-pstl-3mags-17rd,OUT OF STOCK,Orion
KIMBER,EVO SP SELECT 9MM PSTL BLK,$540.00,https://www.orionfflsales.com/product/5307/kimber-evo-sp-select-9mm-pstl-blk,10+,Orion
EAA,REGARD MC S/A PSTL DRIFT ADJSGT,$364.00,https://www.orionfflsales.com/product/5306/eaa-regard-mc-sa-pstl-drift-adjsgt,10+,Orion
dEAA,WITNESS 10MM PSTL BL 14 MAG,$854.00,https://www.orionfflsales.com/product/5303/deaa-witness-10mm-pstl-bl-14-mag,OUT OF STOCK,Orion
dEAA,WITNESS 45ACP PSTL BL 10 MAG,$854.00,https://www.orionfflsales.com/product/5302/deaa-witness-45acp-pstl-bl-10-mag,OUT OF STOCK,Orion
dEAA,WITNESS 9MM PSTL BL 17 MAG,$854.00,https://www.orionfflsales.com/product/5301/deaa-witness-9mm-pstl-bl-17-mag,OUT OF STOCK,Orion
dEAA,WITNESS 10MM CHROME 14 MAG,$930.00,https://www.orionfflsales.com/product/5300/deaa-witness-10mm-chrome-14-mag,OUT OF STOCK,Orion
dEAA,WITNESS 9MM CHROME PSTL 17 MAG,$930.00,https://www.orionfflsales.com/product/5299/deaa-witness-9mm-chrome-pstl-17-mag,OUT OF STOCK,Orion
ZA-USA,ZSTVA PAP92 PSTL 762X39 BLK,$900.00,https://www.orionfflsales.com/product/5298/za-usa-zstva-pap92-pstl-762x39-blk,OUT OF STOCK,Orion
CUSTOM,LW 1911 9MM BLK/BLK PSTL,$678.00,https://www.orionfflsales.com/product/5289/custom-lw-1911-9mm-blkblk-pstl,OUT OF STOCK,Orion
AK-47,PSTL SEMI HELLPUP 762X39,$629.99,https://www.orionfflsales.com/product/5283/ak-47-pstl-semi-hellpup-762x39,OUT OF STOCK,Orion
ZPAP85,AK PSTL 5.56 DRK WOOD,$787.00,https://www.orionfflsales.com/product/5282/zpap85-ak-pstl-556-drk-wood,OUT OF STOCK,Orion
WALTH,LE PPK 380ACP PSTL BL (2) 6RD,$699.00,https://www.orionfflsales.com/product/5279/walth-le-ppk-380acp-pstl-bl-2-6rd,OUT OF STOCK,Orion
dKIMBER,"K6S 357MAG REV 2"" TLE",$881.00,https://www.orionfflsales.com/product/5267/dkimber-k6s-357mag-rev-2-tle,OUT OF STOCK,Orion
KIMBER,ULT CRRY II 45ACP PSTL BL CA,$885.00,https://www.orionfflsales.com/product/5265/kimber-ult-crry-ii-45acp-pstl-bl-ca,OUT OF STOCK,Orion
SIG,"P229 9MM 3.9"" PSTL LEGION SAO",$1395.00,https://www.orionfflsales.com/product/5260/sig-p229-9mm-39-pstl-legion-sao,OUT OF STOCK,Orion
9MM,STAINLESS PRO RAPTOR II,$1259.00,https://www.orionfflsales.com/product/5259/9mm-stainless-pro-raptor-ii,1,Orion
GLOCK,22 40S&W PSTL TNFR NS GEN 4,$279.99,https://www.orionfflsales.com/product/5248/glock-22-40sw-pstl-tnfr-ns-gen-4,OUT OF STOCK,Orion
P365,"9MM 3.7"" X-SERIES BLK STRIKER",$598.00,https://www.orionfflsales.com/product/5242/p365-9mm-37-x-series-blk-striker,OUT OF STOCK,Orion
KIMBER,"K6S CDP 357MAG REV 3"" BL/ST",$1045.00,https://www.orionfflsales.com/product/5238/kimber-k6s-cdp-357mag-rev-3-blst,OUT OF STOCK,Orion
MICRO,DESERT TAN(NS).380ACP,$681.00,https://www.orionfflsales.com/product/5237/micro-desert-tanns380acp,1,Orion
dTISAS/SDS,1911A1 9 PSTL PRK USARMY,$370.00,https://www.orionfflsales.com/product/5233/dtisassds-1911a1-9-pstl-prk-usarmy,OUT OF STOCK,Orion
SPRNGFLD,XD40 F MOD2 40SW PSTL BLK,$279.99,https://www.orionfflsales.com/product/5220/sprngfld-xd40-f-mod2-40sw-pstl-blk,OUT OF STOCK,Orion
dSIG,"P938 9MM PSTL USA SLD,SLITE,SAO",$599.00,https://www.orionfflsales.com/product/5214/dsig-p938-9mm-pstl-usa-sldslitesao,OUT OF STOCK,Orion
dSIG,P365 9MM PSTL NITRON SS TIFFANY,$499.99,https://www.orionfflsales.com/product/5213/dsig-p365-9mm-pstl-nitron-ss-tiffany,OUT OF STOCK,Orion
KIMBER,EVO SP 9MM STAINLESS,$497.00,https://www.orionfflsales.com/product/5211/kimber-evo-sp-9mm-stainless,OUT OF STOCK,Orion
KIMBER,EVO SP 9MM BLACK,$497.00,https://www.orionfflsales.com/product/5210/kimber-evo-sp-9mm-black,OUT OF STOCK,Orion
KIMBER,EVO SP RAPTOR COLLECTORS EDI,$829.00,https://www.orionfflsales.com/product/5209/kimber-evo-sp-raptor-collectors-edi,OUT OF STOCK,Orion
ULTRA,CARRY .45CAL TWO TONE GRN LSR,$1022.00,https://www.orionfflsales.com/product/5207/ultra-carry-45cal-two-tone-grn-lsr,OUT OF STOCK,Orion
KIMBER,CUSTOM II 45 PSTL 2 TONE(LG),$1063.00,https://www.orionfflsales.com/product/5205/kimber-custom-ii-45-pstl-2-tonelg,4,Orion
KIMBER,CSTM TLE/RLII 45 PSTL BL,$1115.00,https://www.orionfflsales.com/product/5201/kimber-cstm-tlerlii-45-pstl-bl,3,Orion
KIMBER,CUSTOM TLE II 45 PSTL BL NS,$954.00,https://www.orionfflsales.com/product/5200/kimber-custom-tle-ii-45-pstl-bl-ns,10+,Orion
KIMBER,STS ULT CRRY II 9MM PSTL STS,$856.00,https://www.orionfflsales.com/product/5197/kimber-sts-ult-crry-ii-9mm-pstl-sts,10,Orion
KIMBER,STS TARGRT II 9MM PSTL STS,$937.00,https://www.orionfflsales.com/product/5196/kimber-sts-targrt-ii-9mm-pstl-sts,10+,Orion
KIMBER,AEGIS ELTE PRO .45 PSTL BLK,$1356.00,https://www.orionfflsales.com/product/5189/kimber-aegis-elte-pro-45-pstl-blk,OUT OF STOCK,Orion
KIMBER,AEGIS ELTE PRO 9MM PSTL,$1374.00,https://www.orionfflsales.com/product/5188/kimber-aegis-elte-pro-9mm-pstl,OUT OF STOCK,Orion
KIMBER,ULTRA CDP 45ACP (LG)(NS),$1276.00,https://www.orionfflsales.com/product/5186/kimber-ultra-cdp-45acp-lgns,OUT OF STOCK,Orion
KIMBER,CPD2 PRO 4IN 45ACP (NS),$1121.00,https://www.orionfflsales.com/product/5185/kimber-cpd2-pro-4in-45acp-ns,1,Orion
SIG,P320 X5 LEGION 9MM PSTL LGN GRY 17RD,$871.00,https://www.orionfflsales.com/product/5178/sig-p320-x5-legion-9mm-pstl-lgn-gry-17rd,1,Orion
P320,"9MM 4.7"" NITRON BLK STRIKER",$767.00,https://www.orionfflsales.com/product/5177/p320-9mm-47-nitron-blk-striker,10+,Orion
KELTEC,PLR16 223REM PSTL PRK/TAN,$499.00,https://www.orionfflsales.com/product/5167/keltec-plr16-223rem-pstl-prktan,OUT OF STOCK,Orion
KELTEC,CP33 22LR PSTL BLK,$476.00,https://www.orionfflsales.com/product/5166/keltec-cp33-22lr-pstl-blk,OUT OF STOCK,Orion
MICRO,9 RAPTOR 9MM COLLECTOR EDITIO,$790.00,https://www.orionfflsales.com/product/5163/micro-9-raptor-9mm-collector-editio,OUT OF STOCK,Orion
RAPIDE,(BLACK ICE) .45ACP PSTL STS,$1391.00,https://www.orionfflsales.com/product/5160/rapide-black-ice-45acp-pstl-sts,OUT OF STOCK,Orion
SIG,"P320XF 9MM 4.7"" BLK X-RAY 3 W/",$854.00,https://www.orionfflsales.com/product/5159/sig-p320xf-9mm-47-blk-x-ray-3-w,10+,Orion
SIG,"P320CA 9MM PSTL M18 COYOTE 3.9""",$566.00,https://www.orionfflsales.com/product/5145/sig-p320ca-9mm-pstl-m18-coyote-39,10+,Orion
