brand,model,price,link,stock_status,vendor
Radical,"Firearms Forged AR15 Rifle - Black | .300 BLK | 16"" Barrel | 15"" Free Float M-LOK Thin Rail | CAR-15 Style Stock",$419.99,https://www.2ndamendmentwholesale.com/radical-firearms-forged-ar15-rifle-black-300-blk-16-barrel-15-free-float-m-lok-thin-rail-car-15-style-stock,In Stock,Second Amendment Wholesale
Black,"Aces Tactical Pro Series M Semi-Auto Shotgun - Black | 12ga | 18.5"" Barrel | Walnut Furniture",$349.99,https://www.2ndamendmentwholesale.com/black-aces-tactical-pro-series-m-semi-auto-shotgun-black-12ga-18-5-barrel-walnut-furniture,In Stock,Second Amendment Wholesale
CZ,"Scorpion 3+ Micro Pistol - Black | 9mm | 4.2"" Barrel | 20rd","$1,049.99",https://www.2ndamendmentwholesale.com/cz-scorpion-3-micro-pistol-black-9mm-4-2-barrel-20rd,In Stock,Second Amendment Wholesale
KE,Arms KE-15 Billet Complete AR15 Lower Receiver - Black | M4 Rifle Buttstock,$199.99,https://www.2ndamendmentwholesale.com/ke-arms-ke-15-billet-complete-ar15-lower-receiver-black-m4-rifle-buttstock,In Stock,Second Amendment Wholesale
Diamondback,"DB15 AR Rifle - Black | 5.56NATO | 16"" Barrel | A2 Flash Hider",$493.00,https://www.2ndamendmentwholesale.com/diamondback-db15-ar-rifle-black-5-56nato-16-barrel-magpul-grip-a2-flash-hider,In Stock,Second Amendment Wholesale
CZ,"612 Magnum Waterfowl Pump Shotgun - Camouflage | 12ga | 28"" Barrel | 3.5"" Chamber",$379.99,https://www.2ndamendmentwholesale.com/cz-612-magnum-waterfowl-pump-shotgun-camouflage-12ga-28-barrel-3-5-chamber,In Stock,Second Amendment Wholesale
Pioneer,"Arms Sporter AK-47 Rifle - Black | 7.62x39 | 16"" Barrel | 30rd | G-2 Style No Slap Trigger | Medieval Castle Style Muzzle Brake",$599.99,https://www.2ndamendmentwholesale.com/pioneer-arms-sporter-ak-47-rifle-black-7-62x39-16-barrel-30rd-g-2-style-no-slap-trigger-medieval-castle-style-muzzle-brake,In Stock,Second Amendment Wholesale
Masterpiece,"Arms Pistol - Black | 9mm | 6"" Threaded Barrel | 30rd | W/ Barrel Extension",$469.99,https://www.2ndamendmentwholesale.com/masterpiece-arms-pistol-black-9mm-6-threaded-barrel-17rd-w-barrel-extension,In Stock,Second Amendment Wholesale
M+M,"Inc M10X-Z Semi-Auto Rifle - Black | 7.62x39 | 16.5"" Barrel | Ambidextrous Controls | Magpul Zhukov Side-Folding Stock","$1,246.66",https://www.2ndamendmentwholesale.com/m-m-inc-m10x-ak-47-rifle-black-7-62x39-16-5-barrel-left-side-charging-handle-magpul-zhukov-stock,In Stock,Second Amendment Wholesale
ATI,"GSG-16 Carbine - Black | .22LR | 16.25"" Barrel | 22rd | Faux Suppressor",$299.95,https://www.2ndamendmentwholesale.com/ati-gsg-16-carbine-black-22lr-16-25-barrel-22rd-faux-suppressor,In Stock,Second Amendment Wholesale
CZ,"Scorpion EVO 3 S1 Pistol - Battleship Grey | 9mm | 7.72"" Barrel | 20rd",$999.99,https://www.2ndamendmentwholesale.com/cz-scorpion-evo-3-s1-pistol-battleship-grey-9mm-7-72-barrel-20rd,In Stock,Second Amendment Wholesale
Kalashnikov,USA KS-12T Tactical Semi-Auto 12ga Shotgun - Black | 10rd mag,$779.99,https://www.2ndamendmentwholesale.com/kalashnikov-usa-ks-12t-tactical-semi-auto-12ga-shotgun-black-10rd-mag,In Stock,Second Amendment Wholesale
IWI,"Jericho 941 Full Size Pistol - 9mm | 4.4"" Barrel | Steel Frame",$499.00,https://www.2ndamendmentwholesale.com/iwi-jericho-941-full-size-pistol-9mm-4-4-barrel-steel-frame,In Stock,Second Amendment Wholesale
Battle,"Arms Development Billet AUTHORITY Elite AR Rifle - Combat Grey | 5.56 NATO | 16"" Barrel | 15"" M-LOK Free-Float Rail | Ambi Charging Handle & Ambi Safety | B5 Stock | Nickel Teflon Trigger","$1,399.99",https://www.2ndamendmentwholesale.com/battle-arms-development-billet-authority-elite-ar-rifle-combat-grey-223-wylde-16-barrel-15-m-lok-free-float-rail-ambi-charging-handle-ambi-safety-b5-stock-nickel-teflon-trigger,In Stock,Second Amendment Wholesale
Armsco,"BULLIE-12 Bullpup Semi-Auto Shotgun - Black | 12ga | 20"" Barrel | Synthetic Furniture",$399.99,https://www.2ndamendmentwholesale.com/armsco-bullie-12-bullpup-semi-auto-shotgun-black-12ga-20-barrel-synthetic-furniture,In Stock,Second Amendment Wholesale
Diamondback,"Diamond DB15 AR Rifle - Black | 5.56NATO | 16"" Barrel | 15"" M-LOK Anti Rotation (S Rail) | Magpul K2 Grip | Magpul ACS-L Stock | DB CNC Muzzle Brake | CMC 3.5 LB Single Stage Trigger","$1,001.00",https://www.2ndamendmentwholesale.com/diamondback-diamond-db15-ar-rifle-black-5-56nato-16-barrel-15-m-lok-anti-rotation-s-rail-magpul-k2-grip-magpul-acs-l-stock-db-cnc-muzzle-brake-cmc-3-5-lb-single-stage-trigger,In Stock,Second Amendment Wholesale
