firearm_type,price,link,stock_status
"Century Arms Romanian Mini Draco Stamped AK-47 Pistol - Black | 7.62x39 | 7.75"" Barrel | Wood Handguard",$799.99,https://www.2ndamendmentwholesale.com/century-arms-romanian-mini-draco-stamped-ak-47-pistol-7-75-barrel-7-62x39-wood-handguard,Add To Cart
"Uzkon ZK-18 Semi-Auto Shotgun - Black | 12ga | 19.5"" Barrel | Synthetic Furniture",$199.99,https://www.2ndamendmentwholesale.com/uzkon-zk-18-semi-auto-shotgun-black-12ga-19-5-barrel-synthetic-furniture,Add To Cart
"IWI Jericho 941 Mid Size Enhanced Pistol - Black | 9mm | 3.8"" Barrel",$429.00,https://www.2ndamendmentwholesale.com/iwi-jericho-941-mid-size-enhanced-pistol-black-9mm-3-8-barrel,Add To Cart
Anderson AM-15 Forged Stripped AR15 Lower Receiver - Black | Punisher Skull Logo | Retail Packaging,$47.99,https://www.2ndamendmentwholesale.com/anderson-am-15-forged-stripped-ar15-lower-receiver-black-punisher-skull-logo-retail-packaging,Add To Cart
"CZ Bren 2 Ms Pistol - Black | 5.56NATO | 8"" Barrel","$1,649.99",https://www.2ndamendmentwholesale.com/cz-bren-2-ms-pistol-black-5-56nato-8-26-barrel,Add To Cart
"CBC AR-9 Aluminum AR Pistol - Black | 9mm | 7.5"" barrel | 7"" M-LOK Rail | SBA3 Brace | Afterburner Compensator",$599.99,https://www.2ndamendmentwholesale.com/cbc-ar-9-aluminum-ar-pistol-black-9mm-7-5-barrel-7-m-lok-rail-sba3-brace-afterburner-compensator,Add To Cart
"CZ 612 Field Pump Shotgun - Turkish Walnut | 12ga | 28"" Barrel | 3"" Chambering | 4rd",$339.99,https://www.2ndamendmentwholesale.com/cz-612-field-pump-shotgun-turkish-walnut-12ga-28-barrel-3-chambering-4rd,Add To Cart
"IWI Jericho 941 Mid-Size Pistol - 9mm | 3.8"" Barrel | Steel Frame",$499.00,https://www.2ndamendmentwholesale.com/iwi-jericho-941-mid-size-pistol-9mm-3-8-barrel-steel-frame,Add To Cart
"Del-Ton Sierra M2 316L Forged Aluminum AR15 Rifle - Black | 5.56NATO | 16"" Light Profile Barrel (1:9 Twist) | 15"" M-LOK Rail | M4 Stock | A2 Flash Hider | Optic Ready",$469.99,https://www.2ndamendmentwholesale.com/del-ton-sierra-m2-316l-forged-aluminum-ar15-black-5-56nato-16-light-profile-barrel-1-9-twist-15-m-lok-rail-m4-stock-a2-flash-hider-optic-ready,Add To Cart
"Polymer 80 PFC9 Pistol - Black | 9mm | 4"" Barrel | 10rd",$429.99,https://www.2ndamendmentwholesale.com/polymer-80-pfc9-pistol-black-9mm-4-barrel-10rd,Add To Cart
"IWI MASADA Optics Ready Pistol - FDE | 9mm | 4.1"" Barrel | 17rd",$384.00,https://www.2ndamendmentwholesale.com/iwi-masada-optics-ready-pistol-fde-9mm-4-1-barrel-17rd,Add To Cart
"LWRC IC-SPR Piston AR Rifle - Black | 5.56NATO | 16.1"" Barrel","$1,749.99",https://www.2ndamendmentwholesale.com/lwrc-ic-spr-piston-ar-rifle-black-5-56nato-16-1-barrel,Add To Cart
KE Arms KP-15 Polymer Stripped AR15 Lower Receiver - FDE | Integral Buttstock & Pistol Grip,$79.99,https://www.2ndamendmentwholesale.com/ke-arms-kp-15-polymer-stripped-ar15-lower-receiver-fde-integral-buttstock-pistol-grip,Add To Cart
KE Arms KE-9 Billet Complete 9mm Lower - Black | M4 Buttstock | Xtech Grip | SLT Trigger | Ambi Selector | Ambi Mag Catch,$379.99,https://www.2ndamendmentwholesale.com/ke-arms-ke-9-billet-complete-glock-9mm-lower-black-m4-buttstock-xtech-grip-slt-trigger-ambi-selector-ambi-mag-catch,Add To Cart
"Zastava ZPAP85 Alpha AK-47 Pistol - Stained Wood Handguard | 5.56NATO | 10"" Barrel | Booster Brake | SBA3 Arm Brace",$949.99,https://www.2ndamendmentwholesale.com/zastava-zpap85-alpha-ak-47-pistol-stained-wood-handguard-5-56nato-10-barrel-booster-brake-sba3-arm-brace,Add To Cart
"Garaysar Fear-120 Tactical Pump Shotgun - Black | 12ga | 20"" Barrel",$199.99,https://www.2ndamendmentwholesale.com/garaysar-fear-120-tactical-pump-shotgun-black-12ga-20-barrel,Add To Cart
"Heritage Rough Rider Revolver - Black | .22 LR | 6.5"" Barrel | 6rd | Cocobolo Wood Grips",$109.99,https://www.2ndamendmentwholesale.com/heritage-rough-rider-revolver-black-22-lr-6-5-barrel-6rd-cocobolo-wood-grips,Add To Cart
"IWI TAVOR TS12 Bullpup Semi-Auto Shotgun - FDE | 12ga | 18.5"" Barrel","$1,120.00",https://www.2ndamendmentwholesale.com/iwi-tavor-ts12-bullpup-semi-auto-shotgun-fde-12ga-18-5-barrel,Add To Cart
"M+M Inc M10X-Z Semi-Auto Rifle - Black | 7.62x39 | 16.5"" Barrel | Short Handguard | Ambidextrous Controls | Magpul Zhukov Side-Folding Stock","$1,246.66",https://www.2ndamendmentwholesale.com/m-m-inc-m10x-ak-47-rifle-black-7-62x39-16-5-barrel-short-handguard-left-side-charging-handle-magpul-zhukov-side-folding-5-position-collapsible-stock,Add To Cart
"ET Arms Omega 15 Polymer AR Rifle - Black | 5.56 NATO | 16"" barrel | 15"" M-LOK Rail | ATI SR-1 Stock",$399.99,https://www.2ndamendmentwholesale.com/et-arms-omega-15-polymer-ar-rifle-black-5-56-nato-16-barrel-15-m-lok-rail-ati-sr-1-stock,Add To Cart
"UnBrandedAR UAR-C CARBON SERIES AR Rifle - Black | .223 Wylde | 16"" Barrel | 15"" M-LOK Rail | A2 Flash Hider | Mil-Spec Stock",$439.99,https://www.2ndamendmentwholesale.com/unbrandedar-uar-c-carbon-series-ar-rifle-black-223-wylde-16-barrel-15-m-lok-rail-a2-flash-hider-mil-spec-stock,Add To Cart
"CZ Bren 2 Ms Pistol - Black | 5.56NATO | 11"" Barrel","$1,599.99",https://www.2ndamendmentwholesale.com/cz-bren-2-ms-pistol-black-5-56nato-11-barrel,Add To Cart
"IWI Jericho 941 Full Size Enhanced Pistol - Black | 9mm | 4.4"" Barrel",$429.00,https://www.2ndamendmentwholesale.com/iwi-jericho-941-full-size-enhanced-pistol-black-9mm-4-4-barrel,Add To Cart
"Zastava ZPAPM90 PS AK-47 Rifle BULGED TRUNNION 1.5MM RECEIVER - Black | 5.56 NATO | 18.25"" Chrome Lined Barrel | Hogue Handguard | Magpul Grip | Magpul Zhukov Stock","$1,057.99",https://www.2ndamendmentwholesale.com/zastava-zpapm90-ps-ak-47-rifle-bulged-trunnion-1-5mm-receiver-black-5-56-nato-18-25-chrome-lined-barrel-hogue-handguard-magpul-grip-magpul-zhukov-stock,Add To Cart
"Brigade MFG BM-9 Forged Aluminum AR Pistol - FDE | 9mm | 9"" Barrel | 8"" U-LOC Rail | Faux Can | SBA3 Arm Brace",$669.99,https://www.2ndamendmentwholesale.com/brigade-mfg-bm-9-forged-aluminum-ar-pistol-fde-9mm-9-barrel-8-u-loc-rail-faux-can-sba3-arm-brace,Add To Cart
